2026-04-09 00:47:01,20.06,3.48,1.8348,0.0731,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:47:31,20.06,3.48,1.8208,0.0703,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:48:01,20.06,3.48,1.8205,0.0702,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:48:31,20.06,3.48,1.8151,0.0691,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:49:01,20.06,3.48,1.8332,0.0728,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:49:31,20.06,3.48,1.8444,0.0750,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:50:01,20.06,3.48,1.8398,0.0741,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:50:31,20.06,3.48,1.8308,0.0723,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:51:01,20.06,3.48,1.8309,0.0723,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:51:31,20.06,3.48,1.8338,0.0729,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:52:01,20.12,3.48,1.8147,0.0691,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:52:31,20.06,3.48,1.8109,0.0683,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:53:01,20.06,3.48,1.8507,0.0763,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:53:31,20.06,3.48,1.8103,0.0682,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:54:01,20.00,3.48,1.8300,0.0721,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:54:31,20.12,3.48,1.8117,0.0685,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:55:01,20.06,3.48,1.8373,0.0736,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:55:31,20.06,3.48,1.8379,0.0737,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:56:01,20.06,3.48,1.8385,0.0738,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:56:31,20.06,3.48,1.8391,0.0739,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:57:01,20.06,3.48,1.8317,0.0725,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:57:31,20.06,3.48,1.8409,0.0743,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:58:01,20.06,3.48,1.8422,0.0746,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:58:31,20.06,3.48,1.8315,0.0724,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:59:01,20.06,3.48,1.8299,0.0721,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:59:31,20.12,3.48,1.8389,0.0739,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:00:01,20.06,3.48,1.8380,0.0737,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:00:31,20.12,3.48,1.8383,0.0738,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:01:01,20.12,3.48,1.8342,0.0730,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:01:31,20.06,3.48,1.8446,0.0750,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:02:01,20.12,3.48,1.8309,0.0723,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:02:31,20.06,3.48,1.8421,0.0745,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:03:01,20.06,3.48,1.8652,0.0792,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:03:31,20.06,3.48,1.8689,0.0799,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:04:01,20.12,3.48,1.8510,0.0763,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:04:31,20.06,3.48,1.8570,0.0775,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:05:01,20.06,3.48,1.8589,0.0779,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:05:31,20.06,3.48,1.8377,0.0737,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:06:01,20.06,3.48,1.8470,0.0755,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:06:31,20.06,3.48,1.8617,0.0785,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:07:01,20.06,3.48,1.8443,0.0750,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:07:31,20.06,3.48,1.8752,0.0812,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:08:01,20.06,3.48,1.8409,0.0743,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:08:31,20.06,3.48,1.8421,0.0745,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:09:01,20.00,3.48,1.8541,0.0769,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:09:31,20.00,3.48,1.8455,0.0752,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:10:01,20.00,3.48,1.8649,0.0791,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:10:31,20.06,3.48,1.8556,0.0772,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:11:01,20.00,3.48,1.8459,0.0753,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:11:31,20.06,3.48,1.8686,0.0798,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:12:01,20.06,3.48,1.8571,0.0775,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:12:31,20.06,3.48,1.8241,0.0709,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:13:01,20.00,3.48,1.8412,0.0744,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:13:31,20.00,3.48,1.8543,0.0770,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:14:01,20.06,3.48,1.8512,0.0764,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:14:31,20.06,3.48,1.8483,0.0758,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:15:01,20.00,3.48,1.8442,0.0750,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:15:31,20.00,3.48,1.8358,0.0733,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:16:01,20.00,3.48,1.8551,0.0771,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:16:31,20.00,3.48,1.8601,0.0781,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:17:01,20.06,3.48,1.8505,0.0762,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:17:31,20.06,3.48,1.8497,0.0761,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:18:01,20.06,3.48,1.8533,0.0768,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:18:31,20.06,3.48,1.8497,0.0761,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:19:01,20.06,3.48,1.8438,0.0749,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:19:31,20.00,3.48,1.8601,0.0781,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:20:01,20.00,3.48,1.8551,0.0771,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 01:20:31,20.06,3.48,1.8584,0.0778,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
